Assignee,Title,Category,Dataset / Source,Drive Link,DataSpace,Indicator(s) / conformsTo,Spatial resolution,Temporal Resolution,Comments,Identifier,Publisher,Creator,Contact Point,Theme / Category,Language,Spatial Coverage,Temporal Coverage (start),Temporal Coverage (end),Update / Modification Date,Accrual Periodicity (frequency),License,Access URL,Format
Akriti Singh,Periodic Labour Force Survey (PLFS),MOSPI PLFS,,"Household - PLFSHH.csv
Person - PLFSPER.csv
PLFS_hh
PLFS_person",,,,,,,"Ministry of Statistics and Programme Implementation (MoSPI), Government of India","National Statistical Office (NSO), MoSPI",,Labour; Demographics,en,India,,,,,,,
Thakshak B,National Family Health Survey-5 (NFHS-5) — District Factsheets,National Family Health Survey-5 2019-2021,https://www.data.gov.in/catalog/national-family-health-survey-5-nfhs-5-india-districts-factsheet-data-provisional,NFHS Assam 2019-2021,,,,,"This contain surevy for all the district of India, we can filter out Assam",,"Ministry of Health and Family Welfare (MoHFW), Government of India","International Institute for Population Sciences (IIPS), Mumbai",,Health; Population,en,India (all districts); subset: Assam,2019,2021,,,Government Open Data License – India (GODL),https://www.data.gov.in/catalog/national-family-health-survey-5-nfhs-5-india-districts-factsheet-data-provisional,
Ahsin Ahmed,"Item-wise HMIS Report — District Level, Assam (up to March 2019-20)","Item-wise HMIS report at District level of Assam upto March, 2019-20",https://www.data.gov.in/resource/item-wise-hmis-report-district-level-assam-upto-march-2019-20,HMIS ,,,,,,,"Ministry of Health and Family Welfare (MoHFW), Government of India","Health Management Information System (HMIS), MoHFW",,Health,en,"Assam, India",,2020-03,,,Government Open Data License – India (GODL),https://www.data.gov.in/resource/item-wise-hmis-report-district-level-assam-upto-march-2019-20,
Ahsin Ahmed to check for more detailed data,Comprehensive National Nutrition Survey (CNNS) 2016-2018,Comprehensive National Nutrition Survey,https://knowledge.unicef.org/resource/comprehensive-national-nutrition-survey-2016-2018,CNNS Assam Factsheet,,,,,Report,,"Ministry of Health and Family Welfare (MoHFW), Government of India; UNICEF India",,,Health; Nutrition,en,India,2016,2018,,,,,PDF
Akriti Singh,National Mental Health Survey (NMHS) — Phase 1 Fact Sheets,National Mental Health Survey,https://indianmhs.nimhans.ac.in/phase1/fact-sheets,NMHS,,"Female population, Sex ratio, Female literacy rate, Community Health Centres, Primary Health Centres, Sub Centres, District hospitals, Registered nurses and midwives, ANMs, Lady Health Visitors (LHVs), ASHA/USHA workers, District Mental Health Programme, Mental hospitals, Medical colleges with psychiatry departments, General hospitals with psychiatry units, Mental health inpatient beds, Psychiatrists, Clinical psychologists, Psychiatric nurses, Psychiatric social workers, Mental health professionals availability, Mental health budget allocation, Suicide rate, Prevalence of common mental disorders, Treatment gap for mental disorders.",State (Assam),2016,Fact Sheets for 12 States,,"National Institute of Mental Health and Neuro-Sciences (NIMHANS), Bengaluru",,,Health; Mental Health,en,India (12 states),,,,,,,PDF
Ahsin Ahmed ,Union Gender Budget Statement,Gender Budget Statements,https://missionshakti.wcd.gov.in/gender-budgeting/union_gender_budget_statement,Gender Budget Statement,,,,,From 2005-06 to 2026-27,,"Ministry of Women and Child Development (MWCD), Government of India",,,Government; Gender; Budget,en,India,2005-04-01,2027-03-31,,Annual,,,
,Demand for Grants — Department of Health and Family Welfare,Demands of Grants for Health and Family Welfare Department,https://www.indiabudget.gov.in/doc/eb/dg46.pdf,Demands of Grants for Health and Family Welfare Department,,,,,2021-2026,,"Ministry of Finance, Government of India","Department of Health and Family Welfare, MoHFW",,Government; Health; Budget,en,India,2021-04-01,2026-03-31,,Annual,,https://www.indiabudget.gov.in/doc/eb/dg46.pdf,PDF
Ahsin Ahmed - to check for more detailed data,National Health Mission (NHM) Report,National Health Mission,https://nhm.gov.in/WriteReadData/l892s/7066690731472463781.pdf,NHM Reports,,,,,"Report, 2009-2014",,"Ministry of Health and Family Welfare (MoHFW), Government of India",,,Health,en,India,2009,2014,,,,https://nhm.gov.in/WriteReadData/l892s/7066690731472463781.pdf,PDF
,Poshan Tracker — District-wise Statistics,Poshan Tracker,https://indiadataportal.com/p/poshan-tracker,mapped_poshan_tracker_updated,,"29 - awc_infra_dws, awc_infra_fun_toilets, awc_infra_own_buil, aadhar_verf_benf, adolescent_girls, awc_open_1day, awc_open_21day, aww, awc, children_0_6_months, children_3_6_years, children_6months_3years, children_awc_21days, children_3_6_years_nonschool, children_3_6_years_school, elgb_benef, health_id_created, hcm_1_6days, hcm_15_20days, hcm_7_14days, hcm_atleast_1day, hcm_atleast_15days, hcm_atleast_21days, lact_mothers, pregnant_women, project, sector, thm_atleast_1day, thm_atleast_21days,",District,Monthly,"Distict wise Poshan Statistics, Data Dictionary in Google Sheet for reference of indicators",,"Ministry of Women and Child Development (MWCD), Government of India",India Data Portal (hosted republication),,Health; Nutrition; Children,en,India (district-level),,,,Monthly,,https://indiadataportal.com/p/poshan-tracker,
Akriti Singh,"Time Use Survey (TUS), MoSPI",Time use survey MOSPI,,"TUS_HH_2024
TUS_Person_2024",,,,,,,"Ministry of Statistics and Programme Implementation (MoSPI), Government of India","National Statistical Office (NSO), MoSPI",,Demographics; Gender; Labour,en,India,2024,,,,,,
