Tender ID,tender_externalreference,tender_title,Work Description,Tender Category,Tender Type,Form of contract,Product Category,Is Multi Currency Allowed For BOQ,Allow Two Stage Bidding,Independent External Monitor/Remarks,Published Date,Pre Bid Meeting Date,Bid Validity(Days),Should Allow NDA Tender,Allow Preferential Bidder,Payment Mode,Bid Opening Date,Organisation Chain,location,Pincode,No of Bids Received,Tender Value in ₹,Bidder Name,Awarded Value,Status,Contract Date :,Tender Stage,Department,is_mch_strict,positive_keywords_dict,negative_keywords_dict,Scheme,is_awarded,is_mch_broad
2018_BoTC_5483_1,TN 109/1,"Construction of New Labour Room cum Maternity Ward at Kamalsing Subsidiary Health Centre of Kachugaon Minority Concentrated Block, under centrally sponsored scheme of Multi-sectoral Development Programme (12th MsDP) in Kokrajhar District for the year","Construction of New Labour Room cum Maternity Ward at Kamalsing Subsidiary Health Centre of Kachugaon Minority Concentrated Block, under centrally sponsored scheme of Multi-sectoral Development Programme (12th MsDP) in Kokrajhar District for the year",Works,Open Tender,Item Rate,Civil Works - Building,No,No,NA ,02-Feb-2018 04:30 PM,NA ,180.0,No ,No,Offline,21-Feb-2018 11:00 AM,Bodoland Territorial Council||PWD-BTC,Kokrajhar,783370.0,2.0,"23,11,988",Mwikwm Basumatary,2370817.0,Accepted-AOC,07-Mar-2019,AOC,Bodoland Territorial Council||PWD-BTC,True,"{'maternal': 0, 'maternity': 2, 'mother and child': 0, 'maternity and child health': 0, 'pregnant woman': 0, 'pregnant women': 0, 'pregnancy care': 0, 'institutional delivery': 0, 'delivery point': 0, 'labour room': 2, 'labor room': 0, 'labour ward': 0, 'maternity ward': 2, 'newborn': 0, 'neonatal': 0, 'infant': 0, 'nicu': 0, 'neonatal intensive care unit': 0, 'sncu': 0, 'special newborn care unit': 0, 'newborn care unit': 0, 'newborn stabilization unit': 0, '12 bedded sncu': 0, 'antenatal care': 0, 'antenatal clinic': 0, 'anc check-up': 0, 'anc check up': 0, 'anc clinic': 0, 'postnatal care': 0, 'pnc visit': 0, 'pnc clinic': 0, 'gestational diabetes': 0, 'screening of gestational diabetes': 0, 'pregnant women screening': 0, 'immunization': 0, 'immunisation': 0, 'vaccination': 0, 'vaccine': 0, 'cold chain': 0, 'ice lined refrigerator': 0, 'ilr': 0, 'deep freezer': 0, 'vaccine carrier': 0, 'cold box': 0, 'child health': 0, 'child health care': 0, 'child health screening': 0, 'school health programme': 0, 'school health program': 0, 'rbsk': 0, 'rbsk screening': 0, 'deic centre': 0, 'deic center': 0, 'early intervention centre': 0, 'early intervention center': 0, 'nutrition rehabilitation': 0, 'growth monitoring': 0, 'malnutrition reduction': 0, 'anganwadi centre': 0, 'anganwadi center': 0, 'icds centre': 0, 'icds center': 0, 'poshan': 0, 'poshan abhiyaan': 0, 'nutrition': 0, 'jssk': 0, 'samahar kit': 0, 'jsy': 0, 'janani suraksha yojana': 0, 'janani shishu suraksha karyakram': 0, 'pmsma': 0, 'pmmvy': 0, 'suman programme': 0, 'suman maternity': 0, 'mamoni': 0, 'mamoni scheme': 0, 'mamata kit': 0, 'mamata': 0, 'sneha sparsha': 0, 'operation smile': 0, 'assam free diagnostics': 0, 'national maternity benefit scheme': 0, 'nmbs': 0, 'laqshya': 0, 'laqshya guideline': 0, 'equipment under maternal health': 0, 'maternal health equipment': 0, 'rch programme': 0, 'rch program': 0, 'reproductive and child health': 0}","{'veterinary': 0, 'husbandry': 0, 'animal': 0, 'livestock': 0}",MSDP,True,True
2018_BoTC_5485_1,TN 109/2,"Construction of New Labour Room cum Maternity Ward at Kachugaon Block Primary Health Centre of Kachugaon Minority Concentrated Block, under centrally sponsored scheme of Multi-sectoral Development Programme (12th MsDP) in Kokrajhar District for the y","Construction of New Labour Room cum Maternity Ward at Kachugaon Block Primary Health Centre of Kachugaon Minority Concentrated Block, under centrally sponsored scheme of Multi-sectoral Development Programme (12th MsDP) in Kokrajhar District for the y",Works,Open Tender,Item Rate,Civil Works - Building,No,No,NA ,02-Feb-2018 04:30 PM,NA ,180.0,No ,No,Offline,21-Feb-2018 11:00 AM,Bodoland Territorial Council||PWD-BTC,Kokrajhar,783370.0,2.0,"23,11,988",DANI KHUNGUR WARY,2466411.0,Rejected-Finance,07-Mar-2019,AOC,Bodoland Territorial Council||PWD-BTC,True,"{'maternal': 0, 'maternity': 2, 'mother and child': 0, 'maternity and child health': 0, 'pregnant woman': 0, 'pregnant women': 0, 'pregnancy care': 0, 'institutional delivery': 0, 'delivery point': 0, 'labour room': 2, 'labor room': 0, 'labour ward': 0, 'maternity ward': 2, 'newborn': 0, 'neonatal': 0, 'infant': 0, 'nicu': 0, 'neonatal intensive care unit': 0, 'sncu': 0, 'special newborn care unit': 0, 'newborn care unit': 0, 'newborn stabilization unit': 0, '12 bedded sncu': 0, 'antenatal care': 0, 'antenatal clinic': 0, 'anc check-up': 0, 'anc check up': 0, 'anc clinic': 0, 'postnatal care': 0, 'pnc visit': 0, 'pnc clinic': 0, 'gestational diabetes': 0, 'screening of gestational diabetes': 0, 'pregnant women screening': 0, 'immunization': 0, 'immunisation': 0, 'vaccination': 0, 'vaccine': 0, 'cold chain': 0, 'ice lined refrigerator': 0, 'ilr': 0, 'deep freezer': 0, 'vaccine carrier': 0, 'cold box': 0, 'child health': 0, 'child health care': 0, 'child health screening': 0, 'school health programme': 0, 'school health program': 0, 'rbsk': 0, 'rbsk screening': 0, 'deic centre': 0, 'deic center': 0, 'early intervention centre': 0, 'early intervention center': 0, 'nutrition rehabilitation': 0, 'growth monitoring': 0, 'malnutrition reduction': 0, 'anganwadi centre': 0, 'anganwadi center': 0, 'icds centre': 0, 'icds center': 0, 'poshan': 0, 'poshan abhiyaan': 0, 'nutrition': 0, 'jssk': 0, 'samahar kit': 0, 'jsy': 0, 'janani suraksha yojana': 0, 'janani shishu suraksha karyakram': 0, 'pmsma': 0, 'pmmvy': 0, 'suman programme': 0, 'suman maternity': 0, 'mamoni': 0, 'mamoni scheme': 0, 'mamata kit': 0, 'mamata': 0, 'sneha sparsha': 0, 'operation smile': 0, 'assam free diagnostics': 0, 'national maternity benefit scheme': 0, 'nmbs': 0, 'laqshya': 0, 'laqshya guideline': 0, 'equipment under maternal health': 0, 'maternal health equipment': 0, 'rch programme': 0, 'rch program': 0, 'reproductive and child health': 0}","{'veterinary': 0, 'husbandry': 0, 'animal': 0, 'livestock': 0}",MSDP,False,True
2018_BoTC_5487_1,TN 109/3,"Construction of New Labour Room cum Maternity Ward at Gurufela Subsidiary Health Centre of Kachugaon Minority Concentrated Block, under centrally sponsored scheme of Multi-sectoral Development Programme (12th MsDP) in Kokrajhar District for the year","Construction of New Labour Room cum Maternity Ward at Gurufela Subsidiary Health Centre of Kachugaon Minority Concentrated Block, under centrally sponsored scheme of Multi-sectoral Development Programme (12th MsDP) in Kokrajhar District for the year",Works,Open Tender,Item Rate,Civil Works - Building,No,No,NA ,02-Feb-2018 04:30 PM,NA ,180.0,No ,No,Offline,21-Feb-2018 11:00 AM,Bodoland Territorial Council||PWD-BTC,Kokrajhar,783370.0,2.0,"23,11,988",Uttam Chakraborty,2466411.0,Rejected-Finance,07-Mar-2019,AOC,Bodoland Territorial Council||PWD-BTC,True,"{'maternal': 0, 'maternity': 2, 'mother and child': 0, 'maternity and child health': 0, 'pregnant woman': 0, 'pregnant women': 0, 'pregnancy care': 0, 'institutional delivery': 0, 'delivery point': 0, 'labour room': 2, 'labor room': 0, 'labour ward': 0, 'maternity ward': 2, 'newborn': 0, 'neonatal': 0, 'infant': 0, 'nicu': 0, 'neonatal intensive care unit': 0, 'sncu': 0, 'special newborn care unit': 0, 'newborn care unit': 0, 'newborn stabilization unit': 0, '12 bedded sncu': 0, 'antenatal care': 0, 'antenatal clinic': 0, 'anc check-up': 0, 'anc check up': 0, 'anc clinic': 0, 'postnatal care': 0, 'pnc visit': 0, 'pnc clinic': 0, 'gestational diabetes': 0, 'screening of gestational diabetes': 0, 'pregnant women screening': 0, 'immunization': 0, 'immunisation': 0, 'vaccination': 0, 'vaccine': 0, 'cold chain': 0, 'ice lined refrigerator': 0, 'ilr': 0, 'deep freezer': 0, 'vaccine carrier': 0, 'cold box': 0, 'child health': 0, 'child health care': 0, 'child health screening': 0, 'school health programme': 0, 'school health program': 0, 'rbsk': 0, 'rbsk screening': 0, 'deic centre': 0, 'deic center': 0, 'early intervention centre': 0, 'early intervention center': 0, 'nutrition rehabilitation': 0, 'growth monitoring': 0, 'malnutrition reduction': 0, 'anganwadi centre': 0, 'anganwadi center': 0, 'icds centre': 0, 'icds center': 0, 'poshan': 0, 'poshan abhiyaan': 0, 'nutrition': 0, 'jssk': 0, 'samahar kit': 0, 'jsy': 0, 'janani suraksha yojana': 0, 'janani shishu suraksha karyakram': 0, 'pmsma': 0, 'pmmvy': 0, 'suman programme': 0, 'suman maternity': 0, 'mamoni': 0, 'mamoni scheme': 0, 'mamata kit': 0, 'mamata': 0, 'sneha sparsha': 0, 'operation smile': 0, 'assam free diagnostics': 0, 'national maternity benefit scheme': 0, 'nmbs': 0, 'laqshya': 0, 'laqshya guideline': 0, 'equipment under maternal health': 0, 'maternal health equipment': 0, 'rch programme': 0, 'rch program': 0, 'reproductive and child health': 0}","{'veterinary': 0, 'husbandry': 0, 'animal': 0, 'livestock': 0}",MSDP,False,True
2018_BoTC_5781_1,TN 111/1,"Construction of New Labour Room cum Maternity Ward at Saraibil Subsidiary Health Centre of Kachugaon Minority Concentrated Block, under centrally sponsored scheme of Multi-sectoral Development Programme (12th MsDP) in Kokrajhar District for the year","Construction of New Labour Room cum Maternity Ward at Saraibil Subsidiary Health Centre of Kachugaon Minority Concentrated Block, under centrally sponsored scheme of Multi-sectoral Development Programme (12th MsDP) in Kokrajhar District for the year",Works,Open Tender,Item Rate,Civil Works,No,No,NA ,15-Feb-2018 04:30 PM,NA ,180.0,No ,No,Offline,07-Mar-2018 11:00 AM,Bodoland Territorial Council||PWD-BTC,Kokrajhar,783370.0,2.0,"23,11,988",HADUNG GWRA MUSHAHARY,2242628.0,Accepted-AOC,07-Mar-2019,AOC,Bodoland Territorial Council||PWD-BTC,True,"{'maternal': 0, 'maternity': 2, 'mother and child': 0, 'maternity and child health': 0, 'pregnant woman': 0, 'pregnant women': 0, 'pregnancy care': 0, 'institutional delivery': 0, 'delivery point': 0, 'labour room': 2, 'labor room': 0, 'labour ward': 0, 'maternity ward': 2, 'newborn': 0, 'neonatal': 0, 'infant': 0, 'nicu': 0, 'neonatal intensive care unit': 0, 'sncu': 0, 'special newborn care unit': 0, 'newborn care unit': 0, 'newborn stabilization unit': 0, '12 bedded sncu': 0, 'antenatal care': 0, 'antenatal clinic': 0, 'anc check-up': 0, 'anc check up': 0, 'anc clinic': 0, 'postnatal care': 0, 'pnc visit': 0, 'pnc clinic': 0, 'gestational diabetes': 0, 'screening of gestational diabetes': 0, 'pregnant women screening': 0, 'immunization': 0, 'immunisation': 0, 'vaccination': 0, 'vaccine': 0, 'cold chain': 0, 'ice lined refrigerator': 0, 'ilr': 0, 'deep freezer': 0, 'vaccine carrier': 0, 'cold box': 0, 'child health': 0, 'child health care': 0, 'child health screening': 0, 'school health programme': 0, 'school health program': 0, 'rbsk': 0, 'rbsk screening': 0, 'deic centre': 0, 'deic center': 0, 'early intervention centre': 0, 'early intervention center': 0, 'nutrition rehabilitation': 0, 'growth monitoring': 0, 'malnutrition reduction': 0, 'anganwadi centre': 0, 'anganwadi center': 0, 'icds centre': 0, 'icds center': 0, 'poshan': 0, 'poshan abhiyaan': 0, 'nutrition': 0, 'jssk': 0, 'samahar kit': 0, 'jsy': 0, 'janani suraksha yojana': 0, 'janani shishu suraksha karyakram': 0, 'pmsma': 0, 'pmmvy': 0, 'suman programme': 0, 'suman maternity': 0, 'mamoni': 0, 'mamoni scheme': 0, 'mamata kit': 0, 'mamata': 0, 'sneha sparsha': 0, 'operation smile': 0, 'assam free diagnostics': 0, 'national maternity benefit scheme': 0, 'nmbs': 0, 'laqshya': 0, 'laqshya guideline': 0, 'equipment under maternal health': 0, 'maternal health equipment': 0, 'rch programme': 0, 'rch program': 0, 'reproductive and child health': 0}","{'veterinary': 0, 'husbandry': 0, 'animal': 0, 'livestock': 0}",MSDP,True,True
2018_BoTC_5782_1,TN 111/2,"Construction of New Labour Room cum Maternity Ward at Jaraguri State Dispensary of Kachugaon Minority Concentrated Block, under centrally sponsored scheme of Multi-sectoral Development Programme (12th MsDP) in Kokrajhar District for the year 2016-17.","Construction of New Labour Room cum Maternity Ward at Jaraguri State Dispensary of Kachugaon Minority Concentrated Block, under centrally sponsored scheme of Multi-sectoral Development Programme (12th MsDP) in Kokrajhar District for the year 2016-17.",Works,Open Tender,Item Rate,Civil Works,No,No,NA ,15-Feb-2018 04:30 PM,NA ,180.0,No ,No,Offline,07-Mar-2018 11:00 AM,Bodoland Territorial Council||PWD-BTC,Kokrajhar,783370.0,2.0,"23,11,988",Marjit Basumatary,2462234.0,Rejected-Finance,07-Mar-2019,AOC,Bodoland Territorial Council||PWD-BTC,True,"{'maternal': 0, 'maternity': 2, 'mother and child': 0, 'maternity and child health': 0, 'pregnant woman': 0, 'pregnant women': 0, 'pregnancy care': 0, 'institutional delivery': 0, 'delivery point': 0, 'labour room': 2, 'labor room': 0, 'labour ward': 0, 'maternity ward': 2, 'newborn': 0, 'neonatal': 0, 'infant': 0, 'nicu': 0, 'neonatal intensive care unit': 0, 'sncu': 0, 'special newborn care unit': 0, 'newborn care unit': 0, 'newborn stabilization unit': 0, '12 bedded sncu': 0, 'antenatal care': 0, 'antenatal clinic': 0, 'anc check-up': 0, 'anc check up': 0, 'anc clinic': 0, 'postnatal care': 0, 'pnc visit': 0, 'pnc clinic': 0, 'gestational diabetes': 0, 'screening of gestational diabetes': 0, 'pregnant women screening': 0, 'immunization': 0, 'immunisation': 0, 'vaccination': 0, 'vaccine': 0, 'cold chain': 0, 'ice lined refrigerator': 0, 'ilr': 0, 'deep freezer': 0, 'vaccine carrier': 0, 'cold box': 0, 'child health': 0, 'child health care': 0, 'child health screening': 0, 'school health programme': 0, 'school health program': 0, 'rbsk': 0, 'rbsk screening': 0, 'deic centre': 0, 'deic center': 0, 'early intervention centre': 0, 'early intervention center': 0, 'nutrition rehabilitation': 0, 'growth monitoring': 0, 'malnutrition reduction': 0, 'anganwadi centre': 0, 'anganwadi center': 0, 'icds centre': 0, 'icds center': 0, 'poshan': 0, 'poshan abhiyaan': 0, 'nutrition': 0, 'jssk': 0, 'samahar kit': 0, 'jsy': 0, 'janani suraksha yojana': 0, 'janani shishu suraksha karyakram': 0, 'pmsma': 0, 'pmmvy': 0, 'suman programme': 0, 'suman maternity': 0, 'mamoni': 0, 'mamoni scheme': 0, 'mamata kit': 0, 'mamata': 0, 'sneha sparsha': 0, 'operation smile': 0, 'assam free diagnostics': 0, 'national maternity benefit scheme': 0, 'nmbs': 0, 'laqshya': 0, 'laqshya guideline': 0, 'equipment under maternal health': 0, 'maternal health equipment': 0, 'rch programme': 0, 'rch program': 0, 'reproductive and child health': 0}","{'veterinary': 0, 'husbandry': 0, 'animal': 0, 'livestock': 0}",MSDP,False,True
2018_BoTC_5783_1,TN 111/3,"Construction of New Labour Room cum Maternity Ward at Ballimari Mini Primary Health Centre of Kachugaon Minority Concentrated Block, under centrally sponsored scheme of Multi-sectoral Development Programme (12th MsDP) in Kokrajhar District for the","Construction of New Labour Room cum Maternity Ward at Ballimari Mini Primary Health Centre of Kachugaon Minority Concentrated Block, under centrally sponsored scheme of Multi-sectoral Development Programme (12th MsDP) in Kokrajhar District for the",Works,Open Tender,Item Rate,Civil Works,No,No,NA ,15-Feb-2018 04:30 PM,NA ,180.0,No ,No,Offline,07-Mar-2018 11:00 AM,Bodoland Territorial Council||PWD-BTC,Kokrajhar,783370.0,2.0,"23,11,988",Mwikwm Basumatary,2450600.0,Accepted-AOC,07-Mar-2019,AOC,Bodoland Territorial Council||PWD-BTC,True,"{'maternal': 0, 'maternity': 2, 'mother and child': 0, 'maternity and child health': 0, 'pregnant woman': 0, 'pregnant women': 0, 'pregnancy care': 0, 'institutional delivery': 0, 'delivery point': 0, 'labour room': 2, 'labor room': 0, 'labour ward': 0, 'maternity ward': 2, 'newborn': 0, 'neonatal': 0, 'infant': 0, 'nicu': 0, 'neonatal intensive care unit': 0, 'sncu': 0, 'special newborn care unit': 0, 'newborn care unit': 0, 'newborn stabilization unit': 0, '12 bedded sncu': 0, 'antenatal care': 0, 'antenatal clinic': 0, 'anc check-up': 0, 'anc check up': 0, 'anc clinic': 0, 'postnatal care': 0, 'pnc visit': 0, 'pnc clinic': 0, 'gestational diabetes': 0, 'screening of gestational diabetes': 0, 'pregnant women screening': 0, 'immunization': 0, 'immunisation': 0, 'vaccination': 0, 'vaccine': 0, 'cold chain': 0, 'ice lined refrigerator': 0, 'ilr': 0, 'deep freezer': 0, 'vaccine carrier': 0, 'cold box': 0, 'child health': 0, 'child health care': 0, 'child health screening': 0, 'school health programme': 0, 'school health program': 0, 'rbsk': 0, 'rbsk screening': 0, 'deic centre': 0, 'deic center': 0, 'early intervention centre': 0, 'early intervention center': 0, 'nutrition rehabilitation': 0, 'growth monitoring': 0, 'malnutrition reduction': 0, 'anganwadi centre': 0, 'anganwadi center': 0, 'icds centre': 0, 'icds center': 0, 'poshan': 0, 'poshan abhiyaan': 0, 'nutrition': 0, 'jssk': 0, 'samahar kit': 0, 'jsy': 0, 'janani suraksha yojana': 0, 'janani shishu suraksha karyakram': 0, 'pmsma': 0, 'pmmvy': 0, 'suman programme': 0, 'suman maternity': 0, 'mamoni': 0, 'mamoni scheme': 0, 'mamata kit': 0, 'mamata': 0, 'sneha sparsha': 0, 'operation smile': 0, 'assam free diagnostics': 0, 'national maternity benefit scheme': 0, 'nmbs': 0, 'laqshya': 0, 'laqshya guideline': 0, 'equipment under maternal health': 0, 'maternal health equipment': 0, 'rch programme': 0, 'rch program': 0, 'reproductive and child health': 0}","{'veterinary': 0, 'husbandry': 0, 'animal': 0, 'livestock': 0}",MSDP,True,True
