Tender ID,tender_externalreference,tender_title,Work Description,Tender Category,Tender Type,Form of contract,Product Category,Is Multi Currency Allowed For BOQ,Allow Two Stage Bidding,Independent External Monitor/Remarks,Published Date,Pre Bid Meeting Date,Bid Validity(Days),Should Allow NDA Tender,Allow Preferential Bidder,Payment Mode,Bid Opening Date,Organisation Chain,location,Pincode,No of Bids Received,Tender Value in ₹,Bidder Name,Awarded Value,Status,Contract Date :,Department,is_mch_strict,positive_keywords_dict,negative_keywords_dict,Scheme,is_awarded,is_mch_broad
2025_HFWD_44829_1,MCH/HMS/2023/277/Pt-1/08,"supply of Equipments, Media and Consumables for Embryology Laboratory at GMCH IVF Centre, HMS, GMCH","supply of Equipments, Media and Consumables for Embryology Laboratory at GMCH IVF Centre, HMS, GMCH",Goods,Open Tender,Item Wise,Supply of Materials,No,No,NA ,10-Jun-2025 06:00 PM,17-Jun-2025 01:00 PM ,365.0,No ,No,Online,02-Jul-2025 06:00 PM,Health and Family Welfare Department||Directorate of Medical Education-HFWD||Guwahati Medical College Hospital-HFWD,"GMCH, Bhangagarh, Guwahati",781032.0,2.0,,B.M. PHARMA & HEALTHCARE PVT.LTD.,34996.24,Accepted-AOC,26-Aug-2025,Health and Family Welfare Department||Directorate of Medical Education-HFWD||Guwahati Medical College Hospital-HFWD,False,"{'maternal': 0, 'maternity': 0, 'mother and child': 0, 'maternity and child health': 0, 'pregnant woman': 0, 'pregnant women': 0, 'pregnancy care': 0, 'institutional delivery': 0, 'delivery point': 0, 'labour room': 0, 'labor room': 0, 'labour ward': 0, 'maternity ward': 0, 'newborn': 0, 'neonatal': 0, 'infant': 0, 'nicu': 0, 'neonatal intensive care unit': 0, 'sncu': 0, 'special newborn care unit': 0, 'newborn care unit': 0, 'newborn stabilization unit': 0, '12 bedded sncu': 0, 'antenatal care': 0, 'antenatal clinic': 0, 'anc check-up': 0, 'anc check up': 0, 'anc clinic': 0, 'postnatal care': 0, 'pnc visit': 0, 'pnc clinic': 0, 'gestational diabetes': 0, 'screening of gestational diabetes': 0, 'pregnant women screening': 0, 'immunization': 0, 'immunisation': 0, 'vaccination': 0, 'vaccine': 0, 'cold chain': 0, 'ice lined refrigerator': 0, 'ilr': 0, 'deep freezer': 0, 'vaccine carrier': 0, 'cold box': 0, 'child health': 0, 'child health care': 0, 'child health screening': 0, 'school health programme': 0, 'school health program': 0, 'rbsk': 0, 'rbsk screening': 0, 'deic centre': 0, 'deic center': 0, 'early intervention centre': 0, 'early intervention center': 0, 'nutrition rehabilitation': 0, 'growth monitoring': 0, 'malnutrition reduction': 0, 'anganwadi centre': 0, 'anganwadi center': 0, 'icds centre': 0, 'icds center': 0, 'poshan': 0, 'poshan abhiyaan': 0, 'nutrition': 0, 'jssk': 0, 'samahar kit': 0, 'jsy': 0, 'janani suraksha yojana': 0, 'janani shishu suraksha karyakram': 0, 'pmsma': 0, 'pmmvy': 0, 'suman programme': 0, 'suman maternity': 0, 'mamoni': 0, 'mamoni scheme': 0, 'mamata kit': 0, 'mamata': 0, 'sneha sparsha': 0, 'operation smile': 0, 'assam free diagnostics': 0, 'national maternity benefit scheme': 0, 'nmbs': 0, 'laqshya': 0, 'laqshya guideline': 0, 'equipment under maternal health': 0, 'maternal health equipment': 0, 'rch programme': 0, 'rch program': 0, 'reproductive and child health': 0}","{'veterinary': 0, 'husbandry': 0, 'animal': 0, 'livestock': 0}",HFW,True,True
2025_NHM_45389_1,342937/2025-26 dt 05-07-2025,Printing and supply of Vaccination Cards and Vaccination Register under the Viral Hepatitis Control Program,Printing and supply of Vaccination Cards and Vaccination Register under the Viral Hepatitis Control Program,Goods,Limited,Item Wise,Publishing/Printing,No,No,NA ,05-Jul-2025 03:00 PM,NA ,90.0,No ,No,Online,09-Jul-2025 03:00 PM,National Health Mission||State Programme Management Unit - NHM,35 district warehous,781005.0,1.0,"9,65,000",MAA MANASHA PRINTERS,208715.92,Rejected-Finance,19-Aug-2025,National Health Mission||State Programme Management Unit - NHM,True,"{'maternal': 0, 'maternity': 0, 'mother and child': 0, 'maternity and child health': 0, 'pregnant woman': 0, 'pregnant women': 0, 'pregnancy care': 0, 'institutional delivery': 0, 'delivery point': 0, 'labour room': 0, 'labor room': 0, 'labour ward': 0, 'maternity ward': 0, 'newborn': 0, 'neonatal': 0, 'infant': 0, 'nicu': 0, 'neonatal intensive care unit': 0, 'sncu': 0, 'special newborn care unit': 0, 'newborn care unit': 0, 'newborn stabilization unit': 0, '12 bedded sncu': 0, 'antenatal care': 0, 'antenatal clinic': 0, 'anc check-up': 0, 'anc check up': 0, 'anc clinic': 0, 'postnatal care': 0, 'pnc visit': 0, 'pnc clinic': 0, 'gestational diabetes': 0, 'screening of gestational diabetes': 0, 'pregnant women screening': 0, 'immunization': 0, 'immunisation': 0, 'vaccination': 4, 'vaccine': 0, 'cold chain': 0, 'ice lined refrigerator': 0, 'ilr': 0, 'deep freezer': 0, 'vaccine carrier': 0, 'cold box': 0, 'child health': 0, 'child health care': 0, 'child health screening': 0, 'school health programme': 0, 'school health program': 0, 'rbsk': 0, 'rbsk screening': 0, 'deic centre': 0, 'deic center': 0, 'early intervention centre': 0, 'early intervention center': 0, 'nutrition rehabilitation': 0, 'growth monitoring': 0, 'malnutrition reduction': 0, 'anganwadi centre': 0, 'anganwadi center': 0, 'icds centre': 0, 'icds center': 0, 'poshan': 0, 'poshan abhiyaan': 0, 'nutrition': 0, 'jssk': 0, 'samahar kit': 0, 'jsy': 0, 'janani suraksha yojana': 0, 'janani shishu suraksha karyakram': 0, 'pmsma': 0, 'pmmvy': 0, 'suman programme': 0, 'suman maternity': 0, 'mamoni': 0, 'mamoni scheme': 0, 'mamata kit': 0, 'mamata': 0, 'sneha sparsha': 0, 'operation smile': 0, 'assam free diagnostics': 0, 'national maternity benefit scheme': 0, 'nmbs': 0, 'laqshya': 0, 'laqshya guideline': 0, 'equipment under maternal health': 0, 'maternal health equipment': 0, 'rch programme': 0, 'rch program': 0, 'reproductive and child health': 0}","{'veterinary': 0, 'husbandry': 0, 'animal': 0, 'livestock': 0}",NHM,False,True
2025_PWBNH_43658_1,"CE/BLD/ELECT/82/2024-25/04 Dated Guwahati the 10th March, 2025",Construction of 33 KV Underground Power Line with XLPE Cable from 132/33 KV Sub-Station to 33/0.433 KV Sub-Station as per APDCL Authority s requirement and other allied works at the External Service Block of the 500 Bedded Mother and Child Hospital,Construction of 33 KV Underground Power Line with XLPE Cable from 132/33 KV Sub-Station to 33/0.433 KV Sub-Station as per APDCL Authority s requirement and other allied works at the External Service Block of the 500 Bedded Mother and Child Hospital,Works,Open Tender,Item Rate,Electrical Works,No,No,NA ,20-Mar-2025 05:10 PM,24-Mar-2025 11:00 AM ,180.0,No ,No,Online,08-Apr-2025 02:30 PM,Public Works Building and NH Department||Chief Engineer-Building - PWBNH,Guwahati,781032.0,2.0,"1,81,80,340",ASSAM SUPPLY SYNDICATE,14959225.0,Rejected-AOC,16-Aug-2025,Public Works Building and NH Department||Chief Engineer-Building - PWBNH,True,"{'maternal': 0, 'maternity': 0, 'mother and child': 2, 'maternity and child health': 0, 'pregnant woman': 0, 'pregnant women': 0, 'pregnancy care': 0, 'institutional delivery': 0, 'delivery point': 0, 'labour room': 0, 'labor room': 0, 'labour ward': 0, 'maternity ward': 0, 'newborn': 0, 'neonatal': 0, 'infant': 0, 'nicu': 0, 'neonatal intensive care unit': 0, 'sncu': 0, 'special newborn care unit': 0, 'newborn care unit': 0, 'newborn stabilization unit': 0, '12 bedded sncu': 0, 'antenatal care': 0, 'antenatal clinic': 0, 'anc check-up': 0, 'anc check up': 0, 'anc clinic': 0, 'postnatal care': 0, 'pnc visit': 0, 'pnc clinic': 0, 'gestational diabetes': 0, 'screening of gestational diabetes': 0, 'pregnant women screening': 0, 'immunization': 0, 'immunisation': 0, 'vaccination': 0, 'vaccine': 0, 'cold chain': 0, 'ice lined refrigerator': 0, 'ilr': 0, 'deep freezer': 0, 'vaccine carrier': 0, 'cold box': 0, 'child health': 0, 'child health care': 0, 'child health screening': 0, 'school health programme': 0, 'school health program': 0, 'rbsk': 0, 'rbsk screening': 0, 'deic centre': 0, 'deic center': 0, 'early intervention centre': 0, 'early intervention center': 0, 'nutrition rehabilitation': 0, 'growth monitoring': 0, 'malnutrition reduction': 0, 'anganwadi centre': 0, 'anganwadi center': 0, 'icds centre': 0, 'icds center': 0, 'poshan': 0, 'poshan abhiyaan': 0, 'nutrition': 0, 'jssk': 0, 'samahar kit': 0, 'jsy': 0, 'janani suraksha yojana': 0, 'janani shishu suraksha karyakram': 0, 'pmsma': 0, 'pmmvy': 0, 'suman programme': 0, 'suman maternity': 0, 'mamoni': 0, 'mamoni scheme': 0, 'mamata kit': 0, 'mamata': 0, 'sneha sparsha': 0, 'operation smile': 0, 'assam free diagnostics': 0, 'national maternity benefit scheme': 0, 'nmbs': 0, 'laqshya': 0, 'laqshya guideline': 0, 'equipment under maternal health': 0, 'maternal health equipment': 0, 'rch programme': 0, 'rch program': 0, 'reproductive and child health': 0}","{'veterinary': 0, 'husbandry': 0, 'animal': 0, 'livestock': 0}",,False,True
