Tender ID,tender_externalreference,tender_title,Work Description,Tender Category,Tender Type,Form of contract,Product Category,Is Multi Currency Allowed For BOQ,Allow Two Stage Bidding,Independent External Monitor/Remarks,Published Date,Pre Bid Meeting Date,Bid Validity(Days),Should Allow NDA Tender,Allow Preferential Bidder,Payment Mode,Bid Opening Date,Organisation Chain,location,Pincode,No of Bids Received,Tender Value in ₹,Bidder Name,Awarded Value,Status,Contract Date :,Department,is_mch_strict,positive_keywords_dict,negative_keywords_dict,Scheme,is_awarded,is_mch_broad
2021_PWBNH_23137_1,CE/BLD/ ELECT/15/2021/Pt-1/32 Dated 04/10/2021,"GROUP-A Construction of Mother and Child Hospital (500 bedded) at Gauhati Medical College and Hospital, Guwahati Under SOPD-ODS for the FY 2019-2020.(Providing 1500 KVA RADIATOR COOLED D.G SET in acoustic enclosure etc.), GROUP-A","GROUP-A Construction of Mother and Child Hospital (500 bedded) at Gauhati Medical College and Hospital, Guwahati Under SOPD-ODS for the FY 2019-2020.(Providing 1500 KVA RADIATOR COOLED D.G SET in acoustic enclosure etc.), GROUP-A",Works,Open Tender,Item Rate,Electrical Works,No,No,NA ,08-Oct-2021 06:00 PM,11-Oct-2021 12:30 PM ,180.0,No ,No,Offline,19-Oct-2021 03:30 PM,Public Works Building and NH Department||Chief Engineer-Building - PWBNH,Guwahati,781005.0,2.0,"3,15,09,624",Industrial Systems LLP,33352938.0,Rejected-Technical,07-Sep-2024,Public Works Building and NH Department||Chief Engineer-Building - PWBNH,True,"{'maternal': 0, 'maternity': 0, 'mother and child': 2, 'maternity and child health': 0, 'pregnant woman': 0, 'pregnant women': 0, 'pregnancy care': 0, 'institutional delivery': 0, 'delivery point': 0, 'labour room': 0, 'labor room': 0, 'labour ward': 0, 'maternity ward': 0, 'newborn': 0, 'neonatal': 0, 'infant': 0, 'nicu': 0, 'neonatal intensive care unit': 0, 'sncu': 0, 'special newborn care unit': 0, 'newborn care unit': 0, 'newborn stabilization unit': 0, '12 bedded sncu': 0, 'antenatal care': 0, 'antenatal clinic': 0, 'anc check-up': 0, 'anc check up': 0, 'anc clinic': 0, 'postnatal care': 0, 'pnc visit': 0, 'pnc clinic': 0, 'gestational diabetes': 0, 'screening of gestational diabetes': 0, 'pregnant women screening': 0, 'immunization': 0, 'immunisation': 0, 'vaccination': 0, 'vaccine': 0, 'cold chain': 0, 'ice lined refrigerator': 0, 'ilr': 0, 'deep freezer': 0, 'vaccine carrier': 0, 'cold box': 0, 'child health': 0, 'child health care': 0, 'child health screening': 0, 'school health programme': 0, 'school health program': 0, 'rbsk': 0, 'rbsk screening': 0, 'deic centre': 0, 'deic center': 0, 'early intervention centre': 0, 'early intervention center': 0, 'nutrition rehabilitation': 0, 'growth monitoring': 0, 'malnutrition reduction': 0, 'anganwadi centre': 0, 'anganwadi center': 0, 'icds centre': 0, 'icds center': 0, 'poshan': 0, 'poshan abhiyaan': 0, 'nutrition': 0, 'jssk': 0, 'samahar kit': 0, 'jsy': 0, 'janani suraksha yojana': 0, 'janani shishu suraksha karyakram': 0, 'pmsma': 0, 'pmmvy': 0, 'suman programme': 0, 'suman maternity': 0, 'mamoni': 0, 'mamoni scheme': 0, 'mamata kit': 0, 'mamata': 0, 'sneha sparsha': 0, 'operation smile': 0, 'assam free diagnostics': 0, 'national maternity benefit scheme': 0, 'nmbs': 0, 'laqshya': 0, 'laqshya guideline': 0, 'equipment under maternal health': 0, 'maternal health equipment': 0, 'rch programme': 0, 'rch program': 0, 'reproductive and child health': 0}","{'veterinary': 0, 'husbandry': 0, 'animal': 0, 'livestock': 0}",SOPD,False,True
2021_PWBNH_23137_2,CE/BLD/ ELECT/15/2021/Pt-1/32 Dated 04/10/2021,"GROUP-B Construction of Mother and Child Hospital (500 bedded) at Gauhati Medical College and Hospital, Guwahati Under SOPD-ODS for the FY 2019-2020. (Providing 1600 KVA Transformer along with allied accessories etc.), GROUP-B","GROUP-B Construction of Mother and Child Hospital (500 bedded) at Gauhati Medical College and Hospital, Guwahati Under SOPD-ODS for the FY 2019-2020. (Providing 1600 KVA Transformer along with allied accessories etc.), GROUP-B",Works,Open Tender,Item Rate,Electrical Works,No,No,NA ,08-Oct-2021 06:00 PM,11-Oct-2021 12:30 PM ,180.0,No ,No,Offline,19-Oct-2021 03:30 PM,Public Works Building and NH Department||Chief Engineer-Building - PWBNH,Guwahati,781005.0,2.0,"1,86,68,021",Industrial Systems LLP,16803086.0,Rejected-Technical,07-Sep-2024,Public Works Building and NH Department||Chief Engineer-Building - PWBNH,True,"{'maternal': 0, 'maternity': 0, 'mother and child': 2, 'maternity and child health': 0, 'pregnant woman': 0, 'pregnant women': 0, 'pregnancy care': 0, 'institutional delivery': 0, 'delivery point': 0, 'labour room': 0, 'labor room': 0, 'labour ward': 0, 'maternity ward': 0, 'newborn': 0, 'neonatal': 0, 'infant': 0, 'nicu': 0, 'neonatal intensive care unit': 0, 'sncu': 0, 'special newborn care unit': 0, 'newborn care unit': 0, 'newborn stabilization unit': 0, '12 bedded sncu': 0, 'antenatal care': 0, 'antenatal clinic': 0, 'anc check-up': 0, 'anc check up': 0, 'anc clinic': 0, 'postnatal care': 0, 'pnc visit': 0, 'pnc clinic': 0, 'gestational diabetes': 0, 'screening of gestational diabetes': 0, 'pregnant women screening': 0, 'immunization': 0, 'immunisation': 0, 'vaccination': 0, 'vaccine': 0, 'cold chain': 0, 'ice lined refrigerator': 0, 'ilr': 0, 'deep freezer': 0, 'vaccine carrier': 0, 'cold box': 0, 'child health': 0, 'child health care': 0, 'child health screening': 0, 'school health programme': 0, 'school health program': 0, 'rbsk': 0, 'rbsk screening': 0, 'deic centre': 0, 'deic center': 0, 'early intervention centre': 0, 'early intervention center': 0, 'nutrition rehabilitation': 0, 'growth monitoring': 0, 'malnutrition reduction': 0, 'anganwadi centre': 0, 'anganwadi center': 0, 'icds centre': 0, 'icds center': 0, 'poshan': 0, 'poshan abhiyaan': 0, 'nutrition': 0, 'jssk': 0, 'samahar kit': 0, 'jsy': 0, 'janani suraksha yojana': 0, 'janani shishu suraksha karyakram': 0, 'pmsma': 0, 'pmmvy': 0, 'suman programme': 0, 'suman maternity': 0, 'mamoni': 0, 'mamoni scheme': 0, 'mamata kit': 0, 'mamata': 0, 'sneha sparsha': 0, 'operation smile': 0, 'assam free diagnostics': 0, 'national maternity benefit scheme': 0, 'nmbs': 0, 'laqshya': 0, 'laqshya guideline': 0, 'equipment under maternal health': 0, 'maternal health equipment': 0, 'rch programme': 0, 'rch program': 0, 'reproductive and child health': 0}","{'veterinary': 0, 'husbandry': 0, 'animal': 0, 'livestock': 0}",SOPD,False,True
2023_HFWD_31224_1,AMSCL/Child Health Equipments/312885,SUPPLY OF CHILD HEALTH EQUIPMENTS,SUPPLY OF CHILD HEALTH EQUIPMENTS,Goods,Open Tender,Buy,Medical Equipments/Waste,No,No,NA ,15-Jun-2023 01:00 PM,27-Jun-2023 03:00 PM ,180.0,No ,No,Online,17-Jul-2023 04:30 PM,Health and Family Welfare Department||Assam Medical Services Corporation Limited,Guwahati,781026.0,2.0,"12,11,34,720",ITAS G. PHARMA,1.0,Rejected-Technical,07-Sep-2024,Health and Family Welfare Department||Assam Medical Services Corporation Limited,True,"{'maternal': 0, 'maternity': 0, 'mother and child': 0, 'maternity and child health': 0, 'pregnant woman': 0, 'pregnant women': 0, 'pregnancy care': 0, 'institutional delivery': 0, 'delivery point': 0, 'labour room': 0, 'labor room': 0, 'labour ward': 0, 'maternity ward': 0, 'newborn': 0, 'neonatal': 0, 'infant': 0, 'nicu': 0, 'neonatal intensive care unit': 0, 'sncu': 0, 'special newborn care unit': 0, 'newborn care unit': 0, 'newborn stabilization unit': 0, '12 bedded sncu': 0, 'antenatal care': 0, 'antenatal clinic': 0, 'anc check-up': 0, 'anc check up': 0, 'anc clinic': 0, 'postnatal care': 0, 'pnc visit': 0, 'pnc clinic': 0, 'gestational diabetes': 0, 'screening of gestational diabetes': 0, 'pregnant women screening': 0, 'immunization': 0, 'immunisation': 0, 'vaccination': 0, 'vaccine': 0, 'cold chain': 0, 'ice lined refrigerator': 0, 'ilr': 0, 'deep freezer': 0, 'vaccine carrier': 0, 'cold box': 0, 'child health': 3, 'child health care': 0, 'child health screening': 0, 'school health programme': 0, 'school health program': 0, 'rbsk': 0, 'rbsk screening': 0, 'deic centre': 0, 'deic center': 0, 'early intervention centre': 0, 'early intervention center': 0, 'nutrition rehabilitation': 0, 'growth monitoring': 0, 'malnutrition reduction': 0, 'anganwadi centre': 0, 'anganwadi center': 0, 'icds centre': 0, 'icds center': 0, 'poshan': 0, 'poshan abhiyaan': 0, 'nutrition': 0, 'jssk': 0, 'samahar kit': 0, 'jsy': 0, 'janani suraksha yojana': 0, 'janani shishu suraksha karyakram': 0, 'pmsma': 0, 'pmmvy': 0, 'suman programme': 0, 'suman maternity': 0, 'mamoni': 0, 'mamoni scheme': 0, 'mamata kit': 0, 'mamata': 0, 'sneha sparsha': 0, 'operation smile': 0, 'assam free diagnostics': 0, 'national maternity benefit scheme': 0, 'nmbs': 0, 'laqshya': 0, 'laqshya guideline': 0, 'equipment under maternal health': 0, 'maternal health equipment': 0, 'rch programme': 0, 'rch program': 0, 'reproductive and child health': 0}","{'veterinary': 0, 'husbandry': 0, 'animal': 0, 'livestock': 0}",HFW,False,True
2024_BoTC_38627_1,No. TECH- 05/SE(B)/E-Tender,"Repairing Renovation of (Main Building Main Building, Labour Room, Immunization Room Office), Staff Quarter and Site development at Gossaigaon BPHC under Kokrajhar District. Pkg No.538-1","Repairing Renovation of (Main Building Main Building, Labour Room, Immunization Room Office), Staff Quarter and Site development at Gossaigaon BPHC under Kokrajhar District. Pkg No.538-1",Works,Open Tender,Item Rate,Civil Works - Building,No,No,NA ,23-Aug-2024 12:00 PM,NA ,180.0,No ,No,Online,11-Sep-2024 01:30 PM,Bodoland Territorial Council||PWD-BTC,Gossaigaon,783360.0,2.0,"45,75,635",ANUPAM GHOSH,4574569.0,Accepted-AOC,27-Sep-2024,Bodoland Territorial Council||PWD-BTC,True,"{'maternal': 0, 'maternity': 0, 'mother and child': 0, 'maternity and child health': 0, 'pregnant woman': 0, 'pregnant women': 0, 'pregnancy care': 0, 'institutional delivery': 0, 'delivery point': 0, 'labour room': 2, 'labor room': 0, 'labour ward': 0, 'maternity ward': 0, 'newborn': 0, 'neonatal': 0, 'infant': 0, 'nicu': 0, 'neonatal intensive care unit': 0, 'sncu': 0, 'special newborn care unit': 0, 'newborn care unit': 0, 'newborn stabilization unit': 0, '12 bedded sncu': 0, 'antenatal care': 0, 'antenatal clinic': 0, 'anc check-up': 0, 'anc check up': 0, 'anc clinic': 0, 'postnatal care': 0, 'pnc visit': 0, 'pnc clinic': 0, 'gestational diabetes': 0, 'screening of gestational diabetes': 0, 'pregnant women screening': 0, 'immunization': 2, 'immunisation': 0, 'vaccination': 0, 'vaccine': 0, 'cold chain': 0, 'ice lined refrigerator': 0, 'ilr': 0, 'deep freezer': 0, 'vaccine carrier': 0, 'cold box': 0, 'child health': 0, 'child health care': 0, 'child health screening': 0, 'school health programme': 0, 'school health program': 0, 'rbsk': 0, 'rbsk screening': 0, 'deic centre': 0, 'deic center': 0, 'early intervention centre': 0, 'early intervention center': 0, 'nutrition rehabilitation': 0, 'growth monitoring': 0, 'malnutrition reduction': 0, 'anganwadi centre': 0, 'anganwadi center': 0, 'icds centre': 0, 'icds center': 0, 'poshan': 0, 'poshan abhiyaan': 0, 'nutrition': 0, 'jssk': 0, 'samahar kit': 0, 'jsy': 0, 'janani suraksha yojana': 0, 'janani shishu suraksha karyakram': 0, 'pmsma': 0, 'pmmvy': 0, 'suman programme': 0, 'suman maternity': 0, 'mamoni': 0, 'mamoni scheme': 0, 'mamata kit': 0, 'mamata': 0, 'sneha sparsha': 0, 'operation smile': 0, 'assam free diagnostics': 0, 'national maternity benefit scheme': 0, 'nmbs': 0, 'laqshya': 0, 'laqshya guideline': 0, 'equipment under maternal health': 0, 'maternal health equipment': 0, 'rch programme': 0, 'rch program': 0, 'reproductive and child health': 0}","{'veterinary': 0, 'husbandry': 0, 'animal': 0, 'livestock': 0}",UIP,True,True
2024_HFWD_36879_1,"supply of Equipments, Media and Consumables for Embryology Laboratory at GMCH IVF Centre, HMS, GMCH","supply of Equipments, Media and Consumables for Embryology Laboratory at GMCH IVF Centre, HMS, GMCH, Guwahati","supply of Equipments, Media and Consumables for Embryology Laboratory at GMCH IVF Centre, HMS, GMCH, Guwahati",Goods,Open Tender,Item Wise,Laboratory and scientific equipment,No,No,NA ,04-Mar-2024 04:00 PM,08-Mar-2024 01:00 PM ,365.0,No ,No,Online,27-Mar-2024 04:00 PM,Health and Family Welfare Department||Directorate of Medical Education-HFWD||Guwahati Medical College Hospital-HFWD,"GMCH, Bhangagarh, Guwahati",781032.0,2.0,,Intermedics Healthcare llp,84193.0,Accepted-AOC,09-Sep-2024,Health and Family Welfare Department||Directorate of Medical Education-HFWD||Guwahati Medical College Hospital-HFWD,False,"{'maternal': 0, 'maternity': 0, 'mother and child': 0, 'maternity and child health': 0, 'pregnant woman': 0, 'pregnant women': 0, 'pregnancy care': 0, 'institutional delivery': 0, 'delivery point': 0, 'labour room': 0, 'labor room': 0, 'labour ward': 0, 'maternity ward': 0, 'newborn': 0, 'neonatal': 0, 'infant': 0, 'nicu': 0, 'neonatal intensive care unit': 0, 'sncu': 0, 'special newborn care unit': 0, 'newborn care unit': 0, 'newborn stabilization unit': 0, '12 bedded sncu': 0, 'antenatal care': 0, 'antenatal clinic': 0, 'anc check-up': 0, 'anc check up': 0, 'anc clinic': 0, 'postnatal care': 0, 'pnc visit': 0, 'pnc clinic': 0, 'gestational diabetes': 0, 'screening of gestational diabetes': 0, 'pregnant women screening': 0, 'immunization': 0, 'immunisation': 0, 'vaccination': 0, 'vaccine': 0, 'cold chain': 0, 'ice lined refrigerator': 0, 'ilr': 0, 'deep freezer': 0, 'vaccine carrier': 0, 'cold box': 0, 'child health': 0, 'child health care': 0, 'child health screening': 0, 'school health programme': 0, 'school health program': 0, 'rbsk': 0, 'rbsk screening': 0, 'deic centre': 0, 'deic center': 0, 'early intervention centre': 0, 'early intervention center': 0, 'nutrition rehabilitation': 0, 'growth monitoring': 0, 'malnutrition reduction': 0, 'anganwadi centre': 0, 'anganwadi center': 0, 'icds centre': 0, 'icds center': 0, 'poshan': 0, 'poshan abhiyaan': 0, 'nutrition': 0, 'jssk': 0, 'samahar kit': 0, 'jsy': 0, 'janani suraksha yojana': 0, 'janani shishu suraksha karyakram': 0, 'pmsma': 0, 'pmmvy': 0, 'suman programme': 0, 'suman maternity': 0, 'mamoni': 0, 'mamoni scheme': 0, 'mamata kit': 0, 'mamata': 0, 'sneha sparsha': 0, 'operation smile': 0, 'assam free diagnostics': 0, 'national maternity benefit scheme': 0, 'nmbs': 0, 'laqshya': 0, 'laqshya guideline': 0, 'equipment under maternal health': 0, 'maternal health equipment': 0, 'rch programme': 0, 'rch program': 0, 'reproductive and child health': 0}","{'veterinary': 0, 'husbandry': 0, 'animal': 0, 'livestock': 0}",HFW,True,True
2024_NHM_37989_1,DHS/BAR/SAMAHAR/2024-25/1913,Supply of Samahar Kit under JSSK Diet program,"Supply of Samahar Kit under JSSK Diet program in Barpeta, Assam.",Goods,Open Tender,Supply,Food Products,No,No,NA ,12-Jul-2024 06:00 PM,18-Jul-2024 11:30 AM ,180.0,No ,No,Online,02-Aug-2024 11:30 AM,National Health Mission||District Programme Management Unit - NHM||District Health Society Barpeta,Barpeta,781301.0,2.0,"1,78,21,000",ARYA ENTERPRISE,375.0,Accepted-AOC,12-Sep-2024,National Health Mission||District Programme Management Unit - NHM||District Health Society Barpeta,False,"{'maternal': 0, 'maternity': 0, 'mother and child': 0, 'maternity and child health': 0, 'pregnant woman': 0, 'pregnant women': 0, 'pregnancy care': 0, 'institutional delivery': 0, 'delivery point': 0, 'labour room': 0, 'labor room': 0, 'labour ward': 0, 'maternity ward': 0, 'newborn': 0, 'neonatal': 0, 'infant': 0, 'nicu': 0, 'neonatal intensive care unit': 0, 'sncu': 0, 'special newborn care unit': 0, 'newborn care unit': 0, 'newborn stabilization unit': 0, '12 bedded sncu': 0, 'antenatal care': 0, 'antenatal clinic': 0, 'anc check-up': 0, 'anc check up': 0, 'anc clinic': 0, 'postnatal care': 0, 'pnc visit': 0, 'pnc clinic': 0, 'gestational diabetes': 0, 'screening of gestational diabetes': 0, 'pregnant women screening': 0, 'immunization': 0, 'immunisation': 0, 'vaccination': 0, 'vaccine': 0, 'cold chain': 0, 'ice lined refrigerator': 0, 'ilr': 0, 'deep freezer': 0, 'vaccine carrier': 0, 'cold box': 0, 'child health': 0, 'child health care': 0, 'child health screening': 0, 'school health programme': 0, 'school health program': 0, 'rbsk': 0, 'rbsk screening': 0, 'deic centre': 0, 'deic center': 0, 'early intervention centre': 0, 'early intervention center': 0, 'nutrition rehabilitation': 0, 'growth monitoring': 0, 'malnutrition reduction': 0, 'anganwadi centre': 0, 'anganwadi center': 0, 'icds centre': 0, 'icds center': 0, 'poshan': 0, 'poshan abhiyaan': 0, 'nutrition': 0, 'jssk': 2, 'samahar kit': 2, 'jsy': 0, 'janani suraksha yojana': 0, 'janani shishu suraksha karyakram': 0, 'pmsma': 0, 'pmmvy': 0, 'suman programme': 0, 'suman maternity': 0, 'mamoni': 0, 'mamoni scheme': 0, 'mamata kit': 0, 'mamata': 0, 'sneha sparsha': 0, 'operation smile': 0, 'assam free diagnostics': 0, 'national maternity benefit scheme': 0, 'nmbs': 0, 'laqshya': 0, 'laqshya guideline': 0, 'equipment under maternal health': 0, 'maternal health equipment': 0, 'rch programme': 0, 'rch program': 0, 'reproductive and child health': 0}","{'veterinary': 0, 'husbandry': 0, 'animal': 0, 'livestock': 0}",JSSK;NHM,True,True
2024_PWBNH_36966_1,"TW-1/GBLD/2023-24/2902-A, Dt. 02-03-2024","Repair and Renovation of Pediatric IPD, Pediatric OPD, NRC and SNCU under MusQan at Goalpara Civil Hospital, Goalpara","Repair and Renovation of Pediatric IPD, Pediatric OPD, NRC and SNCU under MusQan at Goalpara Civil Hospital, Goalpara",Works,Open Tender,Works,Civil Works - Building,No,No,NA ,06-Mar-2024 06:30 PM,13-Mar-2024 11:00 AM ,180.0,No ,No,Online,26-Mar-2024 03:00 PM,Public Works Building and NH Department||Chief Engineer-Building - PWBNH,"Civil Hospital, Bhalukdubi, Goalpara",783121.0,2.0,"20,28,325",MAYUR MADHAB DAS,1429969.0,Accepted-AOC,03-Sep-2024,Public Works Building and NH Department||Chief Engineer-Building - PWBNH,True,"{'maternal': 0, 'maternity': 0, 'mother and child': 0, 'maternity and child health': 0, 'pregnant woman': 0, 'pregnant women': 0, 'pregnancy care': 0, 'institutional delivery': 0, 'delivery point': 0, 'labour room': 0, 'labor room': 0, 'labour ward': 0, 'maternity ward': 0, 'newborn': 0, 'neonatal': 0, 'infant': 0, 'nicu': 0, 'neonatal intensive care unit': 0, 'sncu': 2, 'special newborn care unit': 0, 'newborn care unit': 0, 'newborn stabilization unit': 0, '12 bedded sncu': 0, 'antenatal care': 0, 'antenatal clinic': 0, 'anc check-up': 0, 'anc check up': 0, 'anc clinic': 0, 'postnatal care': 0, 'pnc visit': 0, 'pnc clinic': 0, 'gestational diabetes': 0, 'screening of gestational diabetes': 0, 'pregnant women screening': 0, 'immunization': 0, 'immunisation': 0, 'vaccination': 0, 'vaccine': 0, 'cold chain': 0, 'ice lined refrigerator': 0, 'ilr': 0, 'deep freezer': 0, 'vaccine carrier': 0, 'cold box': 0, 'child health': 0, 'child health care': 0, 'child health screening': 0, 'school health programme': 0, 'school health program': 0, 'rbsk': 0, 'rbsk screening': 0, 'deic centre': 0, 'deic center': 0, 'early intervention centre': 0, 'early intervention center': 0, 'nutrition rehabilitation': 0, 'growth monitoring': 0, 'malnutrition reduction': 0, 'anganwadi centre': 0, 'anganwadi center': 0, 'icds centre': 0, 'icds center': 0, 'poshan': 0, 'poshan abhiyaan': 0, 'nutrition': 0, 'jssk': 0, 'samahar kit': 0, 'jsy': 0, 'janani suraksha yojana': 0, 'janani shishu suraksha karyakram': 0, 'pmsma': 0, 'pmmvy': 0, 'suman programme': 0, 'suman maternity': 0, 'mamoni': 0, 'mamoni scheme': 0, 'mamata kit': 0, 'mamata': 0, 'sneha sparsha': 0, 'operation smile': 0, 'assam free diagnostics': 0, 'national maternity benefit scheme': 0, 'nmbs': 0, 'laqshya': 0, 'laqshya guideline': 0, 'equipment under maternal health': 0, 'maternal health equipment': 0, 'rch programme': 0, 'rch program': 0, 'reproductive and child health': 0}","{'veterinary': 0, 'husbandry': 0, 'animal': 0, 'livestock': 0}",,True,True
